,date,pos,neg,neu,exc_ret
121,2018-03-24,15.0,7.0,56.0,True
122,2018-03-25,10.0,3.0,57.0,True
123,2018-03-26,30.0,6.0,97.0,False
124,2018-03-27,30.0,3.0,147.0,False
125,2018-03-28,27.0,7.0,192.0,False
126,2018-03-29,43.0,12.0,202.0,True
127,2018-03-30,23.0,5.0,82.0,True
128,2018-03-31,17.0,4.0,68.0,False
129,2018-04-01,18.0,2.0,74.0,False
130,2018-04-02,30.0,8.0,122.0,False
131,2018-04-03,12.0,3.0,85.0,True
132,2018-04-04,12.0,1.0,74.0,True
133,2018-04-05,22.0,4.0,100.0,True
134,2018-04-06,33.0,1.0,80.0,True
135,2018-04-07,4.0,0.0,40.0,True
136,2018-04-08,9.0,1.0,48.0,False
137,2018-04-09,7.0,1.0,57.0,False
138,2018-04-10,21.0,2.0,129.0,True
139,2018-04-11,46.0,6.0,185.0,True
140,2018-04-12,48.0,6.0,219.0,True
141,2018-04-13,24.0,16.0,113.0,True
142,2018-04-14,28.0,7.0,58.0,False
143,2018-04-15,20.0,6.0,87.0,False
144,2018-04-16,105.0,17.0,573.0,True
145,2018-04-17,152.0,19.0,578.0,True
146,2018-04-18,54.0,5.0,250.0,False
147,2018-04-19,26.0,1.0,203.0,True
148,2018-04-20,35.0,0.0,127.0,True
149,2018-04-21,23.0,6.0,128.0,False
150,2018-04-22,11.0,4.0,47.0,False
151,2018-04-23,19.0,6.0,157.0,False
152,2018-04-24,14.0,4.0,80.0,False
153,2018-04-25,17.0,8.0,76.0,False
154,2018-04-26,14.0,2.0,55.0,True
155,2018-04-27,19.0,3.0,54.0,False
156,2018-04-28,8.0,2.0,26.0,True
157,2018-04-29,20.0,6.0,52.0,True
158,2018-04-30,14.0,5.0,54.0,False
159,2018-05-01,9.0,0.0,32.0,False
160,2018-05-02,9.0,3.0,43.0,True
161,2018-05-03,11.0,3.0,37.0,False
162,2018-05-04,10.0,2.0,37.0,True
163,2018-05-05,17.0,0.0,29.0,True
164,2018-05-06,13.0,3.0,22.0,True
165,2018-05-07,37.0,2.0,68.0,True
166,2018-05-08,42.0,2.0,62.0,True
167,2018-05-09,32.0,7.0,68.0,False
168,2018-05-10,25.0,6.0,84.0,False
169,2018-05-11,19.0,2.0,50.0,False
170,2018-05-12,30.0,6.0,93.0,False
171,2018-05-13,19.0,0.0,62.0,True
172,2018-05-14,25.0,8.0,52.0,True
173,2018-05-15,23.0,2.0,60.0,True
174,2018-05-16,30.0,4.0,42.0,True
175,2018-05-17,24.0,0.0,78.0,False
176,2018-05-18,19.0,5.0,63.0,True
177,2018-05-19,17.0,6.0,17.0,True
178,2018-05-20,25.0,3.0,25.0,True
179,2018-05-21,79.0,7.0,160.0,True
180,2018-05-22,49.0,10.0,150.0,True
181,2018-05-23,41.0,7.0,102.0,True
182,2018-05-24,84.0,17.0,265.0,True
183,2018-05-25,65.0,12.0,224.0,True
184,2018-05-26,57.0,6.0,78.0,True
185,2018-05-27,29.0,4.0,44.0,False
186,2018-05-28,23.0,5.0,43.0,False
187,2018-05-29,46.0,4.0,110.0,True
188,2018-05-30,31.0,6.0,77.0,True
189,2018-05-31,33.0,4.0,93.0,False
190,2018-06-01,39.0,4.0,124.0,True
191,2018-06-02,30.0,5.0,56.0,True
192,2018-06-03,25.0,7.0,45.0,False
193,2018-06-04,67.0,11.0,239.0,True
194,2018-06-05,69.0,9.0,204.0,True
195,2018-06-06,35.0,4.0,112.0,False
196,2018-06-07,30.0,3.0,87.0,False
197,2018-06-08,28.0,5.0,55.0,False
198,2018-06-09,7.0,1.0,30.0,True
199,2018-06-10,15.0,4.0,26.0,True
200,2018-06-11,20.0,6.0,49.0,False
201,2018-06-12,28.0,7.0,101.0,True
202,2018-06-13,87.0,28.0,334.0,True
203,2018-06-14,140.0,42.0,477.0,True
204,2018-06-15,69.0,19.0,316.0,True
205,2018-06-16,35.0,5.0,76.0,False
206,2018-06-17,29.0,3.0,98.0,False
207,2018-06-18,21.0,6.0,95.0,True
208,2018-06-19,83.0,26.0,383.0,True
209,2018-06-20,78.0,23.0,389.0,True
210,2018-06-21,74.0,11.0,172.0,True
211,2018-06-22,43.0,7.0,108.0,False
212,2018-06-23,18.0,4.0,50.0,False
213,2018-06-24,24.0,1.0,79.0,False
214,2018-06-25,50.0,17.0,198.0,True
215,2018-06-26,44.0,12.0,262.0,True
216,2018-06-27,36.0,9.0,177.0,False
217,2018-06-28,41.0,11.0,153.0,True
218,2018-06-29,32.0,2.0,93.0,False
219,2018-06-30,25.0,2.0,83.0,False
220,2018-07-01,12.0,1.0,42.0,True
221,2018-07-02,18.0,3.0,42.0,True
222,2018-07-03,14.0,6.0,101.0,False
223,2018-07-04,47.0,10.0,137.0,True
224,2018-07-05,23.0,1.0,65.0,True
225,2018-07-06,19.0,5.0,64.0,True
226,2018-07-07,15.0,3.0,17.0,True
227,2018-07-08,17.0,0.0,46.0,True
228,2018-07-09,46.0,5.0,178.0,False
229,2018-07-10,25.0,13.0,151.0,False
230,2018-07-11,18.0,3.0,104.0,True
231,2018-07-12,31.0,3.0,182.0,False
232,2018-07-13,20.0,8.0,154.0,False
233,2018-07-14,13.0,2.0,49.0,False
234,2018-07-15,22.0,3.0,92.0,True
235,2018-07-16,175.0,54.0,851.0,False
236,2018-07-17,210.0,144.0,1101.0,False
237,2018-07-18,68.0,12.0,247.0,False
238,2018-07-19,43.0,11.0,209.0,False
239,2018-07-20,36.0,10.0,176.0,False
240,2018-07-21,37.0,4.0,122.0,True
241,2018-07-22,35.0,12.0,103.0,True
242,2018-07-23,55.0,8.0,94.0,False
243,2018-07-24,77.0,20.0,232.0,False
244,2018-07-25,128.0,20.0,333.0,True
245,2018-07-26,42.0,20.0,215.0,True
246,2018-07-27,20.0,3.0,65.0,False
247,2018-07-28,15.0,2.0,81.0,False
248,2018-07-29,22.0,4.0,60.0,False
249,2018-07-30,61.0,12.0,295.0,False
250,2018-07-31,44.0,5.0,114.0,True
