,date,pos,neg,neu,exc_ret,exc_ret%
5,2017-11-28,0.022810217575499368,0.006758326280675108,0.9704314561438252,True,0.01836655235380978
6,2017-11-29,0.02316244156022725,0.008170279697226925,0.9686672787425454,False,-0.039506951487445215
7,2017-11-30,0.029453410072952733,0.01227377821194589,0.9582728117151008,False,-0.011581937382713516
8,2017-12-01,0.03169360383810302,0.010390124531107083,0.9579162716307894,True,0.00029964240923350746
9,2017-12-02,0.023691442094960314,0.01062583515736522,0.9656827227476744,False,-0.0004044154978130885
10,2017-12-03,0.028253213367272535,0.010409612837095407,0.9613371737956317,False,-0.0019038529502487965
11,2017-12-04,0.011154213296988789,0.005097385927799688,0.9837484007752113,False,-0.0009125958503057967
12,2017-12-05,0.03613837988609256,0.006529549728324792,0.9573320703855821,True,0.000698333677344473
13,2017-12-06,0.027149378697176707,0.006937117739479387,0.9659135035633436,True,0.0014500056421806245
14,2017-12-07,0.02553272642771542,0.003054821302542926,0.9714124522697413,False,-0.004224417832495468
15,2017-12-08,0.027691735895852835,0.014906270085170764,0.9574019940189762,True,0.013404934822524323
16,2017-12-09,0.03236714056537269,0.009993028743028742,0.9576398306915985,True,0.0015243925501614236
17,2017-12-10,0.030428492502795907,0.012496109554933084,0.957075397942271,False,-0.012807991000914778
18,2017-12-11,0.01654032749216716,0.01928317041189628,0.9641765020959362,False,-0.008841341615389785
19,2017-12-12,0.03423334355614209,0.004399880569338535,0.9613667758745191,False,-0.0010319416112597169
20,2017-12-13,0.03426917674463975,0.011105869978267234,0.9546249532770927,True,0.009678225271357786
21,2017-12-14,0.016682670832113295,0.007572374039377362,0.9757449551285092,True,0.00975318714943093
22,2017-12-15,0.02608518699606897,0.015137520735533878,0.9587772922683963,False,-0.008937093404129202
23,2017-12-16,0.032278771773488424,0.00829613729549791,0.9594250909310137,False,-0.003339909520451638
24,2017-12-17,0.022638160328019276,0.00903190418679549,0.9683299354851851,True,0.0038570021206822797
25,2017-12-18,0.0117914056898145,0.010312650312650313,0.9778959439975353,False,-0.006174866519688772
26,2017-12-19,0.03559413644363765,0.009192311492498233,0.9552135520638642,False,-0.012998814678178889
27,2017-12-20,0.013532831690726428,0.015753521840478363,0.9707136464687951,True,0.010843181473906215
28,2017-12-21,0.030724719911765702,0.015356090104181836,0.9539191899840522,False,-0.0010922732774531112
29,2017-12-22,0.02573453718588271,0.006719099296330418,0.9675463635177866,True,0.008136343547402655
30,2017-12-23,0.025498923953439823,0.011375520545935656,0.9631255555006244,True,0.006258124986727678
31,2017-12-24,0.03268949489173709,0.005481233742103307,0.9618292713661595,True,0.001709372385624707
32,2017-12-25,0.02569238824461383,0.013902055864298426,0.9604055558910877,False,-0.0038957172236213293
33,2017-12-26,0.0306733701874343,0.01623474629750591,0.9530918835150596,False,-0.010652091453665826
34,2017-12-27,0.0291788375429223,0.01631210368482737,0.9545090587722502,False,-0.008437580969804034
35,2017-12-28,0.04052733350608768,0.006571888083300202,0.9529007784106117,True,0.03317644811887891
36,2017-12-29,0.039066158646488595,0.012868384405449452,0.9480654569480618,True,0.0031111028550671253
37,2017-12-30,0.029049599265543537,0.0048326673326673335,0.9661177334017891,True,0.0013964137414474752
38,2017-12-31,0.037139403880594855,0.008630336317906306,0.9542302598014987,True,0.006664568827592064
39,2018-01-01,0.04231591364306848,0.00157239006442114,0.956111696292511,True,0.009759279632965311
40,2018-01-02,0.024314510864571072,0.0026565550929529935,0.9730289340424757,True,0.010739023701774486
41,2018-01-03,0.028822721791623544,0.005460693232262864,0.9657165849761131,True,0.009749759759750601
42,2018-01-04,0.035780429895966345,0.011422434446502162,0.9527971356575311,True,0.0014902455063799374
43,2018-01-05,0.028639523242244433,0.008592030930045855,0.9627684458277095,True,0.010600561353834125
44,2018-01-06,0.025781993161349003,0.011557300151414847,0.9626607066872358,True,0.009114581690887073
45,2018-01-07,0.024753835095806965,0.009429083683742071,0.965817081220451,True,0.0044371497854673835
46,2018-01-08,0.020903376098439633,0.006697191697191697,0.9723994322043684,False,-0.0072914324334942575
47,2018-01-09,0.03781489163279496,0.012163040581500525,0.9500220677857041,False,-0.013201909215860497
48,2018-01-10,0.01763487482192725,0.004402886374010994,0.9779622388040613,True,0.01751044363346489
49,2018-01-11,0.03130998314623188,0.003953033319459828,0.9647369835343079,True,0.015111540122966961
50,2018-01-12,0.026888433816909276,0.00683199418145378,0.9662795720016365,True,0.010767137173014661
51,2018-01-13,0.02100693991528407,0.008435786435786435,0.9705572736489293,True,0.010664320551459992
52,2018-01-14,0.020688758953574193,0.011302168296069533,0.9680090727503562,True,0.011313039050948803
53,2018-01-15,0.025373241792664498,0.006745368158411637,0.9678813900489236,True,0.001531107990548227
54,2018-01-16,0.016574369184511148,0.006722478189138951,0.9767031526263499,False,-0.01898194454645105
55,2018-01-17,0.022877783212973228,0.007392751882581804,0.9697294649044444,False,-0.029156846343323002
56,2018-01-18,0.04588816272202488,0.02039272865421058,0.9337191086237643,True,0.012766059150048348
57,2018-01-19,0.02319480506811798,0.006155599149960926,0.970649595781921,False,-0.00277385355184133
58,2018-01-20,0.028414586762594462,0.01039321737501173,0.9611921958623936,False,-0.012775183966143541
59,2018-01-21,0.01882004852283443,0.006283709639876301,0.9748962418372888,False,-0.010920279920497645
60,2018-01-22,0.023690572779548714,0.0101839048212718,0.9661255223991814,True,0.04500833375990234
61,2018-01-23,0.026390730514102432,0.010638284554368618,0.9629709849315301,True,0.08687302371042543
62,2018-01-24,0.0285998837892604,0.012423346019525147,0.9589767701912147,True,0.049403531898680006
