,Model,Window,Neutral,Train Score,Test Score,Params
0,Random Forest,4,0,0.5445665083609523,0.40235690235690236,"{'max_depth': 5, 'n_estimators': 82}"
1,XGBoost,2,1,0.5399647637231199,0.40574302401038287,"{'colsample_bytree': 0.9351624840551299, 'gamma': 3.1702800368880393, 'learning_rate': 0.36382375260823063, 'max_depth': 18, 'min_child_weight': 2.4620556918573335, 'n_estimators': 82, 'reg_alpha': 1.0713789370026117, 'subsample': 0.7175314216437834}"
0,Random Forest,1,1,0.5388311017899409,0.37027627818355036,"{'max_depth': 5, 'n_estimators': 43}"
0,Random Forest,5,1,0.5377680115466735,0.4614325068870524,"{'max_depth': 24, 'n_estimators': 24}"
2,LightGBM,1,1,0.5366349560080285,0.3693235947919975,"{'colsample_bytree': 0.9985079007033938, 'gamma': 9.395616976463344, 'learning_rate': 0.14137785884619852, 'max_depth': 4, 'min_child_weight': 10.235610380549621, 'n_estimators': 69, 'reg_alpha': 0.707700932309635, 'subsample': 0.7968206355664518}"
1,XGBoost,2,0,0.5352593627400616,0.49691758598312785,"{'colsample_bytree': 0.8945942596613399, 'gamma': 1.032478823187687, 'learning_rate': 0.08420562906696737, 'max_depth': 20, 'min_child_weight': 14.799947962977793, 'n_estimators': 70, 'reg_alpha': 2.2725932258165704, 'subsample': 0.8800225562920356}"
3,Logistic Regression,3,0,0.5341139722513815,0.4352766798418972,"{'C': 0.4788154000283883, 'penalty': 'l1'}"
4,Catboost,3,0,0.5333254682268422,0.4603096179183136,{}
0,Random Forest,5,0,0.5328852908091294,0.452995867768595,"{'max_depth': 3, 'n_estimators': 18}"
4,Catboost,4,0,0.530611327301085,0.4092592592592592,{}
3,Logistic Regression,1,0,0.5258253159037837,0.4106065417592887,"{'C': 0.2817168334873753, 'penalty': 'l1'}"
3,Logistic Regression,4,1,0.5250743057627312,0.4545454545454546,"{'C': 0.2548898650673358, 'penalty': 'l1'}"
1,XGBoost,1,1,0.5228694590296873,0.39345824071133706,"{'colsample_bytree': 0.9815385729416413, 'gamma': 0.7219328100975675, 'learning_rate': 0.43306208388802203, 'max_depth': 10, 'min_child_weight': 7.492908072592849, 'n_estimators': 40, 'reg_alpha': 2.236498502596552, 'subsample': 0.9589786748683728}"
4,Catboost,1,0,0.5198776817900818,0.36503651953000954,{}
3,Logistic Regression,3,1,0.5198249654494519,0.44499341238471674,"{'C': 0.24909785711254898, 'penalty': 'l2'}"
4,Catboost,4,1,0.5138165317969663,0.406060606060606,{}
3,Logistic Regression,5,0,0.5113588104777466,0.456439393939394,"{'C': 1.1636905021984878, 'penalty': 'l1'}"
3,Logistic Regression,5,1,0.5101125643437052,0.4421487603305785,"{'C': 0.1504868830682581, 'penalty': 'l1'}"
4,Catboost,5,1,0.5026029659440417,0.42493112947658407,{}
4,Catboost,5,0,0.4868197896237879,0.431301652892562,{}
3,Logistic Regression,1,1,0.47013360584739694,0.4131470308034296,"{'C': 1.1212348553167528, 'penalty': 'l1'}"
4,Catboost,1,1,0.4658003795690863,0.3929818990155605,{}
