,Model,Window,Neutral,Train Score,Test Score,Params
3,Logistic Regression,5,0,0.5278556703820767,0.5043044077134986,"{'C': 1.9743817089067894, 'penalty': 'l1'}"
1,XGBoost,4,0,0.5259078012735322,0.5202020202020202,"{'colsample_bytree': 0.9972153726233306, 'gamma': 0.11424569265367057, 'learning_rate': 0.41200841405357896, 'max_depth': 20, 'min_child_weight': 3.1555479115277243, 'n_estimators': 79, 'reg_alpha': 9.888357963344756, 'subsample': 0.9714696705253049}"
0,Random Forest,5,0,0.5211402073489206,0.49104683195592286,"{'max_depth': 3, 'n_estimators': 69}"
1,XGBoost,3,0,0.5109439759225597,0.48353096179183136,"{'colsample_bytree': 0.9567221170095302, 'gamma': 4.296235431703974, 'learning_rate': 0.4813886436010422, 'max_depth': 2, 'min_child_weight': 2.2110453322384074, 'n_estimators': 86, 'reg_alpha': 0.8128287205625961, 'subsample': 0.7074887094586569}"
4,Catboost,1,1,0.5094600340060769,0.4328358208955224,{}
2,LightGBM,2,0,0.505151311703717,0.45571057754704736,"{'colsample_bytree': 0.7074544759114554, 'gamma': 8.296126230841235, 'learning_rate': 0.03154601640223203, 'max_depth': 21, 'min_child_weight': 3.665522234204769, 'n_estimators': 14, 'reg_alpha': 2.0934869767051323, 'subsample': 0.8746247689792417}"
1,XGBoost,1,0,0.5018937181091718,0.46522705620832006,"{'colsample_bytree': 0.9724774014108821, 'gamma': 0.04767141415028098, 'learning_rate': 0.2900948870890135, 'max_depth': 8, 'min_child_weight': 20.148750841034207, 'n_estimators': 86, 'reg_alpha': 1.9592839807262208, 'subsample': 0.9614328210383298}"
1,XGBoost,5,0,0.5009543153679098,0.5339187327823691,"{'colsample_bytree': 0.919344009930703, 'gamma': 1.8288306922001452, 'learning_rate': 0.2643668713371493, 'max_depth': 24, 'min_child_weight': 8.280033683989027, 'n_estimators': 94, 'reg_alpha': 1.4324432052186142, 'subsample': 0.764034276284349}"
0,Random Forest,2,0,0.5008582587542575,0.43575600259571706,"{'max_depth': 2, 'n_estimators': 57}"
2,LightGBM,3,0,0.5000978747166803,0.5294795783926218,"{'colsample_bytree': 0.891934388096395, 'gamma': 3.7795299795976414, 'learning_rate': 0.19827614361458357, 'max_depth': 6, 'min_child_weight': 10.588426237882583, 'n_estimators': 13, 'reg_alpha': 0.7496485606978653, 'subsample': 0.9646716280101882}"
1,XGBoost,2,0,0.5,0.5,"{'colsample_bytree': 0.7919077556706795, 'gamma': 0.8925407009275377, 'learning_rate': 0.4225105572878433, 'max_depth': 23, 'min_child_weight': 3.8068707926178527, 'n_estimators': 99, 'reg_alpha': 9.883769298396626, 'subsample': 0.9610152842506259}"
1,XGBoost,1,1,0.5,0.5,"{'colsample_bytree': 0.8488704726910892, 'gamma': 6.054481949723027, 'learning_rate': 0.05434816676511849, 'max_depth': 13, 'min_child_weight': 3.6815845817446182, 'n_estimators': 65, 'reg_alpha': 4.158996105619207, 'subsample': 0.9147588224289996}"
4,Catboost,5,0,0.49042092976839513,0.49724517906336085,{}
4,Catboost,2,0,0.4778950967664273,0.48264114211550946,{}
