,Model,Window,Neutral,Train Score,Test Score,Params
0,Random Forest,2,1,0.5630138112982453,0.5659340659340659,"{'max_depth': 14, 'n_estimators': 26}"
2,LightGBM,2,1,0.5568977697437086,0.43956043956043955,"{'colsample_bytree': 0.9721052729793562, 'gamma': 6.333638790320312, 'learning_rate': 0.4168704260401256, 'max_depth': 17, 'min_child_weight': 4.931271347017972, 'n_estimators': 61, 'reg_alpha': 1.763134818993276, 'subsample': 0.7749729059099918}"
2,LightGBM,3,0,0.5555764684287604,0.5454545454545454,"{'colsample_bytree': 0.8460403067951954, 'gamma': 2.2181767262798804, 'learning_rate': 0.4601710695551171, 'max_depth': 5, 'min_child_weight': 11.171019924165194, 'n_estimators': 99, 'reg_alpha': 0.2771899542038358, 'subsample': 0.9630406778809467}"
2,LightGBM,4,0,0.5550829944415137,0.36000000000000004,"{'colsample_bytree': 0.941920648408865, 'gamma': 5.91112480515703, 'learning_rate': 0.4837082384728853, 'max_depth': 12, 'min_child_weight': 1.6624913684442157, 'n_estimators': 14, 'reg_alpha': 6.751333846055237, 'subsample': 0.9703984461358094}"
2,LightGBM,4,1,0.5522754316833264,0.3727272727272727,"{'colsample_bytree': 0.9310958162484462, 'gamma': 1.6174444192161541, 'learning_rate': 0.37818050824424043, 'max_depth': 7, 'min_child_weight': 5.558820921731497, 'n_estimators': 88, 'reg_alpha': 7.971858082768576, 'subsample': 0.8822157617834032}"
0,Random Forest,5,1,0.5459668499463126,0.8,"{'max_depth': 17, 'n_estimators': 13}"
0,Random Forest,5,0,0.5397286102265685,0.6,"{'max_depth': 23, 'n_estimators': 32}"
1,XGBoost,2,1,0.5382897569837762,0.42857142857142855,"{'colsample_bytree': 0.8103959329643023, 'gamma': 1.4642797222813475, 'learning_rate': 0.3054280748037223, 'max_depth': 23, 'min_child_weight': 3.938225029806971, 'n_estimators': 32, 'reg_alpha': 0.22067674464488202, 'subsample': 0.9752704162993449}"
2,LightGBM,5,0,0.5351513615862526,0.675,"{'colsample_bytree': 0.9170005203246285, 'gamma': 6.291427263414162, 'learning_rate': 0.0687336576296561, 'max_depth': 16, 'min_child_weight': 4.9237865942324675, 'n_estimators': 36, 'reg_alpha': 0.545059892758406, 'subsample': 0.8053164950379508}"
3,Catboost,5,1,0.5266924792584021,0.7555555555555555,{}
1,XGBoost,4,0,0.5257424104330799,0.48000000000000004,"{'colsample_bytree': 0.9876321929492046, 'gamma': 1.3458238466686834, 'learning_rate': 0.3036010265298273, 'max_depth': 14, 'min_child_weight': 8.774464339652225, 'n_estimators': 93, 'reg_alpha': 1.8476123112080212, 'subsample': 0.9762261915213019}"
1,XGBoost,4,1,0.5251543209876544,0.42727272727272725,"{'colsample_bytree': 0.9549224111144149, 'gamma': 2.8967094545214134, 'learning_rate': 0.09116855144517176, 'max_depth': 5, 'min_child_weight': 10.908502943897092, 'n_estimators': 89, 'reg_alpha': 7.255310196125412, 'subsample': 0.7628304180586879}"
3,Catboost,2,1,0.5241784671983524,0.6043956043956044,{}
0,Random Forest,4,1,0.5238809389522109,0.4545454545454546,"{'max_depth': 4, 'n_estimators': 12}"
1,XGBoost,5,0,0.5222307158627485,0.675,"{'colsample_bytree': 0.8732949740804664, 'gamma': 4.249298741320333, 'learning_rate': 0.13865051813814028, 'max_depth': 8, 'min_child_weight': 5.432791424265905, 'n_estimators': 53, 'reg_alpha': 1.3884864266237107, 'subsample': 0.9517133544868237}"
1,XGBoost,3,0,0.5208781658169745,0.6363636363636364,"{'colsample_bytree': 0.7998919686429441, 'gamma': 3.08491828974656, 'learning_rate': 0.4003959481990469, 'max_depth': 8, 'min_child_weight': 4.647560614388922, 'n_estimators': 96, 'reg_alpha': 0.7560161868772763, 'subsample': 0.9082660446882771}"
2,LightGBM,1,0,0.517438008824999,0.625,"{'colsample_bytree': 0.9151093519202231, 'gamma': 3.1570252058325545, 'learning_rate': 0.010204196676872437, 'max_depth': 2, 'min_child_weight': 6.218723037524078, 'n_estimators': 15, 'reg_alpha': 5.20415406145034, 'subsample': 0.9962054226839527}"
2,LightGBM,5,1,0.5160118604350349,0.7777777777777778,"{'colsample_bytree': 0.8995378734624899, 'gamma': 9.923301344945871, 'learning_rate': 0.12452714233036376, 'max_depth': 12, 'min_child_weight': 3.9163618560518856, 'n_estimators': 77, 'reg_alpha': 1.731639604319235, 'subsample': 0.9973739890636719}"
