,Model,Window,Neutral,Train Score,Test Score,Params
2,LightGBM,3,1,0.5045229432188261,0.6111111111111112,"{'colsample_bytree': 0.9852975503918242, 'gamma': 0.22200211807944514, 'learning_rate': 0.2284945098724862, 'max_depth': 20, 'min_child_weight': 16.835520407905122, 'n_estimators': 30, 'reg_alpha': 0.6508307109991007, 'subsample': 0.9571762465004765}"
1,XGBoost,2,0,0.5038204349104107,0.6153846153846154,"{'colsample_bytree': 0.9918858539821962, 'gamma': 1.5942425436907581, 'learning_rate': 0.25137940505135065, 'max_depth': 23, 'min_child_weight': 18.976545133692053, 'n_estimators': 94, 'reg_alpha': 0.0945588830398247, 'subsample': 0.9436879596139189}"
3,Catboost,1,1,0.501681626337419,0.5089285714285714,{}
2,LightGBM,1,1,0.5011278482159064,0.5267857142857143,"{'colsample_bytree': 0.979794899734507, 'gamma': 3.4600430730501444, 'learning_rate': 0.06340570189689741, 'max_depth': 21, 'min_child_weight': 3.7851698394907576, 'n_estimators': 89, 'reg_alpha': 0.11862837965612379, 'subsample': 0.8930153395522803}"
1,XGBoost,3,1,0.5,0.5,"{'colsample_bytree': 0.9749879553056168, 'gamma': 6.4041826851791175, 'learning_rate': 0.43432839642583815, 'max_depth': 2, 'min_child_weight': 15.774070298285755, 'n_estimators': 34, 'reg_alpha': 7.896433295119431, 'subsample': 0.917892614149956}"
3,Catboost,5,0,0.49987617557377084,0.625,{}
3,Catboost,1,0,0.4973044578258443,0.4423076923076923,{}
0,Random Forest,2,0,0.49475205546810397,0.6730769230769231,"{'max_depth': 21, 'n_estimators': 57}"
0,Random Forest,3,0,0.4883090064371897,0.3939393939393939,"{'max_depth': 14, 'n_estimators': 72}"
3,Catboost,3,1,0.4852893950983934,0.5,{}
3,Catboost,4,0,0.4732140390786435,0.31999999999999995,{}
3,Catboost,2,0,0.47293350604693507,0.5384615384615384,{}
3,Catboost,3,0,0.4439656698287146,0.4393939393939394,{}
