Date,Open,High,Low,Close,Adj Close,Volume
2017-11-27,6409.520020,6420.209961,6392.009766,6405.970215,6405.970215,1773400000
2017-11-28,6419.479980,6426.040039,6385.319824,6422.560059,6422.560059,2000410000
2017-11-29,6412.689941,6412.689941,6279.370117,6311.379883,6311.379883,2452860000
2017-11-30,6337.339844,6374.189941,6321.430176,6365.560059,6365.560059,2458580000
2017-12-01,6325.609863,6365.299805,6244.839844,6337.870117,6337.870117,2293570000
2017-12-04,6380.680176,6380.770020,6256.810059,6263.700195,6263.700195,2426570000
2017-12-05,6242.470215,6337.060059,6235.770020,6265.109863,6265.109863,2083540000
2017-12-06,6243.720215,6304.100098,6234.220215,6293.049805,6293.049805,1891850000
2017-12-07,6300.640137,6333.290039,6290.649902,6316.279785,6316.279785,1934120000
2017-12-08,6364.600098,6377.549805,6335.229980,6344.569824,6344.569824,1806040000
2017-12-11,6351.240234,6394.430176,6347.910156,6393.890137,6393.890137,1818970000
2017-12-12,6389.470215,6403.500000,6371.689941,6383.649902,6383.649902,1861560000
2017-12-13,6405.410156,6416.830078,6388.410156,6394.669922,6394.669922,1919560000
2017-12-14,6407.259766,6423.680176,6386.250000,6389.910156,6389.910156,1985200000
2017-12-15,6405.149902,6470.919922,6405.029785,6466.319824,6466.319824,3510420000
2017-12-18,6504.890137,6522.700195,6495.180176,6513.270020,6513.270020,2144360000
2017-12-19,6505.359863,6510.870117,6462.790039,6480.669922,6480.669922,2071060000
2017-12-20,6504.549805,6504.549805,6447.930176,6472.479980,6472.479980,1874550000
2017-12-21,6481.080078,6501.520020,6467.779785,6472.689941,6472.689941,1815620000
2017-12-22,6462.549805,6467.830078,6449.000000,6465.169922,6465.169922,1539250000
2017-12-26,6427.319824,6438.240234,6407.990234,6433.160156,6433.160156,1304340000
2017-12-27,6437.060059,6448.939941,6425.919922,6435.149902,6435.149902,1409540000
2017-12-28,6449.529785,6452.069824,6432.680176,6441.419922,6441.419922,1311320000
2017-12-29,6439.910156,6442.529785,6396.419922,6396.419922,6396.419922,1571730000
2018-01-02,6431.589844,6513.020020,6417.750000,6511.339844,6511.339844,1914930000
2018-01-03,6520.029785,6579.250000,6519.259766,6575.799805,6575.799805,2166780000
2018-01-04,6595.750000,6603.169922,6576.919922,6584.580078,6584.580078,2098890000
2018-01-05,6613.129883,6654.979980,6605.029785,6653.290039,6653.290039,2020900000
2018-01-08,6651.680176,6680.319824,6649.200195,6676.629883,6676.629883,2051430000
2018-01-09,6692.870117,6696.120117,6658.270020,6677.939941,6677.939941,14250900000
2018-01-10,6640.660156,6663.509766,6619.350098,6662.660156,6662.660156,2122740000
2018-01-11,6675.689941,6708.490234,6664.740234,6708.490234,6708.490234,2009740000
2018-01-12,6699.319824,6763.979980,6695.520020,6758.540039,6758.540039,1976200000
2018-01-16,6807.850098,6835.790039,6719.109863,6737.140137,6737.140137,2377140000
2018-01-17,6767.850098,6820.040039,6738.450195,6810.279785,6810.279785,2238070000
2018-01-18,6804.589844,6826.790039,6784.720215,6811.379883,6811.379883,2026220000
2018-01-19,6829.040039,6843.240234,6801.589844,6834.330078,6834.330078,1997270000
2018-01-22,6829.549805,6906.279785,6822.850098,6906.279785,6906.279785,2106070000
2018-01-23,6928.270020,6969.399902,6926.370117,6963.459961,6963.459961,2119840000
2018-01-24,6975.379883,6992.910156,6880.680176,6919.350098,6919.350098,2277010000
2018-01-25,6965.009766,6967.600098,6894.839844,6916.299805,6916.299805,2061450000
2018-01-26,6956.660156,7022.970215,6941.479980,7022.970215,7022.970215,2059010000
2018-01-29,7000.680176,7020.640137,6974.700195,6988.319824,6988.319824,2103380000
2018-01-30,6910.390137,6958.790039,6894.629883,6930.729980,6930.729980,2163980000
2018-01-31,6972.810059,6983.609863,6915.479980,6949.990234,6949.990234,2407540000
2018-02-01,6910.569824,6970.770020,6879.020020,6901.500000,6901.500000,2291680000
2018-02-02,6866.379883,6889.069824,6756.540039,6760.290039,6760.290039,2587770000
2018-02-05,6687.470215,6807.959961,6495.390137,6495.919922,6495.919922,3106870000
2018-02-06,6378.600098,6673.410156,6370.479980,6665.979980,6665.979980,3131030000
2018-02-07,6632.979980,6716.250000,6581.379883,6582.020020,6582.020020,2366970000
2018-02-08,6595.810059,6606.049805,6304.180176,6306.100098,6306.100098,2707700000
2018-02-09,6395.160156,6453.430176,6164.430176,6412.680176,6412.680176,3155990000
2018-02-12,6477.040039,6565.279785,6424.299805,6523.850098,6523.850098,2240420000
2018-02-13,6482.770020,6567.620117,6478.410156,6553.859863,6553.859863,1816670000
2018-02-14,6523.259766,6684.149902,6520.390137,6675.029785,6675.029785,2211460000
2018-02-15,6734.339844,6795.919922,6665.919922,6794.919922,6794.919922,2110700000
